Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2025-01-23,305.73,130.05,137.43,52.85,30.52,43.69,-1.48,-27.05,0.1,10.22,5.41,3.05,2.42,3.7,1.46,1.657
2025-01-24,296.17,129.68,136.75,52.77,44.79,45.25,-4.56,-27.05,-3.12,3.57,1.71,1.74,1.01,1.65,-0.38,0.666
2025-01-27,245.92,127.79,132.55,55.36,134.49,74.54,-20.75,-27.05,-16.97,-14.01,-15.37,0.26,-0.42,-1.47,-3.39,-2.294
2025-01-28,267.87,128.97,135.23,55.99,156.38,81.37,-13.68,-27.05,8.93,-8.41,-5.85,0.31,1.62,-0.12,0.06,-0.477
2025-01-29,256.88,128.36,134.54,56.11,148.11,82.48,-17.22,-27.05,-4.1,-15.89,-10.03,-0.77,2.24,-1.88,0.75,-1.119
2025-01-30,258.86,129.04,134.88,56.11,149.07,82.25,-16.58,-27.05,0.77,-15.33,-7.18,-0.78,3.22,-1.85,1.92,-0.67
2025-01-31,249.34,128.39,134.51,56.15,149.17,82.21,-19.65,-27.05,-3.67,-15.81,-13.19,-1.0,2.93,-1.64,1.8,-1.644
2025-02-03,242.26,127.41,132.89,56.24,86.39,80.5,-21.93,-27.05,-2.84,-1.49,-19.25,-0.29,0.88,0.26,-1.17,-2.766
2025-02-04,246.4,128.33,134.69,56.25,42.47,79.55,-20.6,-27.05,1.71,-8.02,-20.6,-0.49,1.05,-0.4,-1.06,-3.06
2025-02-05,259.23,128.84,134.95,56.43,57.19,79.89,-16.46,-27.05,5.21,0.91,-10.92,0.37,2.58,0.31,1.04,-1.33
2025-02-06,267.22,129.31,135.63,56.46,60.81,80.8,-13.89,-27.05,3.08,3.23,-8.16,0.2,2.79,0.56,1.61,-0.854
2025-02-07,269.63,128.08,133.79,56.47,47.25,80.9,-13.11,-27.05,0.9,8.14,-7.33,-0.24,1.82,-0.53,0.23,-0.719
2025-02-10,277.38,128.94,135.1,56.52,25.94,80.93,-10.61,-27.05,2.87,14.5,-1.72,1.2,4.11,1.66,2.88,0.151
2025-02-11,275.78,128.99,134.62,56.34,35.17,80.63,-11.13,-27.05,-0.58,11.93,-0.32,0.51,3.98,-0.05,2.91,0.36
2025-02-12,272.33,128.63,134.66,56.27,31.16,80.66,-12.24,-27.05,-1.25,5.05,-0.47,-0.16,3.58,-0.22,3.18,0.338
2025-02-13,280.95,129.97,136.69,53.98,31.5,80.54,-9.46,-27.05,3.16,5.14,-0.7,0.52,2.78,0.78,2.23,0.303
2025-02-14,288.34,129.97,137.24,54.04,33.41,80.64,-7.08,-27.05,2.63,6.94,3.95,1.47,2.99,2.58,3.56,0.986
