Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-06-14,46.57,77.88,68.39,,94.23,73.49,-53.22,-53.22,-1.25,-26.25,-25.12,-7.03,-5.23,-7.88,-3.87,-4.321
2022-06-15,47.34,79.01,70.1,,107.99,74.12,-52.44,-53.22,1.65,-22.39,-23.64,-2.84,-4.74,-2.12,-2.93,-3.966
2022-06-16,42.74,76.45,67.24,,110.63,79.79,-57.06,-57.06,-9.71,-28.13,-30.36,-6.0,-9.64,-6.12,-9.32,-4.994
2022-06-17,42.93,76.61,68.2,,120.5,80.06,-56.87,-57.06,0.44,-23.51,-28.49,-5.79,-11.63,-4.78,-10.99,-4.584
2022-06-18,39.88,76.61,68.2,,78.63,81.97,-59.93,-59.93,-7.1,-15.43,-34.0,-1.99,-11.63,-0.1,-10.99,-5.612
2022-06-19,43.1,76.61,68.2,,113.35,87.92,-56.7,-59.93,8.07,-7.45,-30.2,-1.62,-11.63,-0.28,-10.99,-4.429
2022-06-20,43.2,76.61,68.2,,111.43,81.54,-56.6,-59.93,0.23,-8.74,-35.07,-3.04,-11.63,-2.71,-10.99,-5.883
2022-06-21,43.43,78.49,69.91,,85.2,81.65,-56.37,-59.93,0.54,1.61,-34.86,2.67,-8.89,3.98,-8.38,-5.826
2022-06-22,41.91,78.39,69.81,,89.65,80.33,-57.89,-59.93,-3.49,-2.37,-32.93,2.31,-8.32,2.36,-7.85,-5.507
2022-06-23,44.22,79.13,70.94,,72.95,83.12,-55.58,-59.93,5.5,10.88,-30.79,3.29,-9.12,4.02,-8.81,-4.852
2022-06-24,44.52,81.55,73.31,,50.73,83.42,-55.27,-59.93,0.69,3.3,-28.52,6.45,-4.79,7.49,-3.37,-4.375
2022-06-25,45.09,81.55,73.31,,50.67,83.71,-54.7,-59.93,1.27,4.38,-27.92,6.45,-4.79,7.49,-3.37,-4.239
2022-06-26,44.09,81.55,73.31,,55.44,83.53,-55.7,-59.93,-2.21,1.53,-29.69,3.9,-4.79,4.86,-3.37,-4.601
2022-06-27,43.48,81.31,72.79,,47.72,80.21,-56.31,-59.93,-1.39,3.74,-33.9,3.73,-5.37,4.27,-4.45,-5.732
2022-06-28,42.53,79.67,70.62,,26.08,80.11,-57.27,-59.93,-2.19,-3.82,-34.91,0.68,-8.15,-0.45,-8.16,-5.964
2022-06-29,42.16,79.62,70.6,,22.73,80.08,-57.65,-59.93,-0.87,-5.31,-33.46,-2.38,-7.21,-3.7,-7.52,-5.645
2022-06-30,41.49,78.92,69.66,,9.01,79.91,-58.32,-59.93,-1.59,-7.99,-34.3,-3.23,-5.79,-4.99,-6.17,-5.844
2022-07-01,40.41,79.75,70.28,,10.81,79.76,-59.4,-59.93,-2.6,-8.36,-33.75,-2.21,-1.94,-4.13,-1.87,-5.734
2022-07-02,40.35,79.75,70.28,,15.78,79.92,-59.46,-59.93,-0.14,-7.2,-32.15,-1.92,-1.94,-3.44,-1.87,-5.37
2022-07-03,40.47,79.75,70.28,,18.32,78.88,-59.35,-59.93,0.28,-4.85,-27.9,0.1,-1.94,-0.48,-1.87,-4.54
2022-07-04,42.43,79.75,70.28,,45.4,61.54,-57.38,-59.93,4.84,0.63,-10.03,0.17,2.02,-0.45,2.95,-1.76
2022-07-05,42.34,79.88,71.51,,43.05,61.47,-57.46,-59.93,-0.2,2.05,-9.08,1.22,2.57,2.66,4.56,-1.558
2022-07-06,43.09,80.16,71.76,,33.8,61.52,-56.71,-59.93,1.77,6.64,-8.97,0.52,1.45,2.1,2.37,-1.533
2022-07-07,45.37,81.36,73.4,,40.49,54.39,-54.41,-59.93,5.3,12.45,6.16,2.02,6.43,4.43,9.16,1.578
2022-07-08,45.57,81.3,73.49,,40.01,54.39,-54.22,-59.93,0.43,12.61,6.15,1.94,6.11,4.56,7.75,1.576
2022-07-09,45.28,81.3,73.49,,38.07,47.41,-54.51,-59.93,-0.64,6.73,13.54,1.94,6.11,4.56,7.75,3.444
2022-07-10,43.74,81.3,73.49,,50.77,40.98,-56.05,-59.93,-3.39,3.32,1.49,1.77,6.11,2.77,7.75,0.627
2022-07-11,41.88,80.36,71.83,,59.96,43.67,-57.93,-59.93,-4.27,-2.81,-3.05,0.24,4.89,0.09,5.32,-0.646
2022-07-12,40.52,79.62,71.15,,31.87,44.9,-59.29,-59.93,-3.24,-10.69,-6.7,-2.15,1.43,-3.07,1.77,-1.637
2022-07-13,42.39,79.26,71.04,,57.28,46.36,-57.42,-59.93,4.6,-6.99,1.13,-2.5,1.11,-3.33,1.76,0.508
2022-07-14,43.14,79.02,71.06,,61.65,42.52,-56.66,-59.93,1.77,-4.73,-2.45,-2.8,-0.14,-3.3,0.17,-0.498
